id,location,position,experience,e_none,e_sma,e_smu/smk/stm,e_sp,e_d3,e_d4,e_s1,e_dp,e_gp,e_s2,e_s3,type,gig1,gig2,perks,turn_time,size,industry,salary
9634,Sumatera Utara,Manajer/Asisten Manajer,5,0,1,1,1,1,1,1,0,0,0,0,Penuh Waktu,Praktisi/Asisten Medis,Layanan Kesehatan,",",,50,Makanan & Minuman/Katering/Restoran,14000000.0
24082,Jakarta Utara,Pegawai (non-manajemen & non-supervisor),2,1,0,0,0,0,0,0,0,0,0,0,Penuh Waktu,IT-Perangkat Lunak,Komputer/Teknologi Informasi,"Asuransi kesehatan,Waktu regular, Senin - Jumat,Bisnis (contoh: Kemeja),",29,5000,Pertambangan,5500000.0
30954,Jawa Timur,Supervisor/Koordinator,5,0,0,0,0,0,0,1,0,0,0,0,Penuh Waktu,Penjualan Ritel,Penjualan / Pemasaran,"Tip,Asuransi kesehatan,Waktu regular, Senin - Jumat,Bisnis (contoh: Kemeja),",21,50,Manajemen/Konsulting HR,13225000.0
31329,Bali,Pegawai (non-manajemen & non-supervisor),3,1,0,0,0,0,0,0,0,0,0,0,Penuh Waktu,Telesales/Telemarketing,Penjualan / Pemasaran,"Asuransi kesehatan,Parkir,Penglihatan,Waktu regular, Senin - Jumat,Bisnis (contoh: Kemeja),",15,200,Konstruksi/Bangunan/Teknik,4500000.0
1200,Jakarta Selatan,Pegawai (non-manajemen & non-supervisor),3,1,0,0,0,0,0,0,0,0,0,0,Penuh Waktu,Pemasaran/Pengembangan Bisnis,Penjualan / Pemasaran,"Tunjangan Pendidikan,Tip,Waktu regular, Senin - Jumat,",10,2000,Asuransi,19000000.0
15156,Jakarta Barat,Pegawai (non-manajemen & non-supervisor),1,0,1,1,1,1,1,0,0,0,0,0,Penuh Waktu,Staf / Administrasi umum,Sumber Daya Manusia/Personalia,"Tip,Waktu regular, Senin - Jumat,Kasual (contoh: Kaos),",,50,Periklanan/Marketing/Promosi/Hubungan Masyarakat,4200000.0
30994,Cikarang,Supervisor/Koordinator,3,0,0,0,1,1,1,1,0,0,0,0,Penuh Waktu,Penjaminan Kualitas / QA,Manufaktur,"Tip,Asuransi kesehatan,Waktu regular, Senin - Jumat,Bisnis (contoh: Kemeja),",21,50,Manajemen/Konsulting HR,10350000.0
28873,Medan,Manajer/Asisten Manajer,5,0,0,0,0,0,0,1,1,1,1,0,Penuh Waktu,Audit & Pajak,Akuntansi / Keuangan,",",,,,19200000.0
19029,Surabaya,Pegawai (non-manajemen & non-supervisor),1,0,1,1,1,1,1,1,0,0,0,0,Penuh Waktu,Telesales/Telemarketing,Penjualan / Pemasaran,"Tip,Bisnis (contoh: Kemeja),",21,200,Manufaktur/Produksi,4600000.0
21398,Jakarta Selatan,Pegawai (non-manajemen & non-supervisor),1,1,0,0,0,0,0,0,0,0,0,0,Penuh Waktu,Makanan/Minuman/Pelayanan Restoran,Hotel/Restoran,",",,50,Makanan & Minuman/Katering/Restoran,2400000.0
25821,Bengkulu,Lulusan baru/Pengalaman kerja kurang dari 1 tahun,,0,1,1,0,0,0,0,0,0,0,0,Kontrak,Perbankan / Jasa Finansial ,Akuntansi / Keuangan,"Asuransi Gigi,Asuransi kesehatan,Pinjaman,Olahraga (contoh: pusat kebugaran),Parkir,Waktu regular, Senin - Jumat,Bonus,Smart Casual Business,",16,5000,Perbankan/Pelayanan Keuangan,3000000.0
30464,Jawa Timur,Pegawai (non-manajemen & non-supervisor),1,0,0,0,0,0,0,1,0,0,0,0,Penuh Waktu,Audit & Pajak,Akuntansi / Keuangan,"Bisnis (contoh: Kemeja),-,",,200,Manufaktur/Produksi,3750000.0
17118,Yogyakarta,Supervisor/Koordinator,5,0,0,0,0,0,0,1,0,0,0,0,Penuh Waktu,Penjaminan Kualitas / QA,Manufaktur,"Tunjangan Pendidikan,Tip,Asuransi kesehatan,Waktu regular, Senin - Jumat,Kasual (contoh: Kaos),",16,50,Komputer/Teknik Informatika (Perangkat Lunak),12000000.0
4529,Jakarta Utara,Pegawai (non-manajemen & non-supervisor),1,0,1,1,0,0,0,0,0,0,0,0,Penuh Waktu,Digital Marketing,Penjualan / Pemasaran,"Tunjangan Pendidikan,Parkir,Kasual (contoh: Kaos),",30,50,Automobil/Mesin Tambahan Automotif/Kendaraan,3600000.0
5681,Jakarta Raya,Pegawai (non-manajemen & non-supervisor),2,0,0,0,0,0,0,1,0,0,0,0,Penuh Waktu,IT-Perangkat Lunak,Komputer/Teknologi Informasi,"Tip,Asuransi kesehatan,Formil (contoh: Kemeja + Dasi),",,50,Komputer/Teknik Informatika (Perangkat Lunak),6500000.0
18141,Sidoarjo,Pegawai (non-manajemen & non-supervisor),2,1,0,0,0,0,0,0,0,0,0,0,Penuh Waktu,Penjualan - Korporasi,Penjualan / Pemasaran,"Asuransi kesehatan,Waktu regular, Senin - Jumat,Bisnis (contoh: Kemeja),",9,50,Bahan Kimia/Pupuk/Pestisida,10000000.0
11259,Semarang,Pegawai (non-manajemen & non-supervisor),1,0,1,1,1,1,1,1,0,0,0,0,Penuh Waktu,Penjualan Ritel,Penjualan / Pemasaran,"Tip,Asuransi kesehatan,Formil (contoh: Kemeja + Dasi),Mondays - Saturdays,",16,200,Automobil/Mesin Tambahan Automotif/Kendaraan,3105000.0
16901,Kupang,Pegawai (non-manajemen & non-supervisor),1,0,1,1,1,1,1,1,0,0,0,0,Penuh Waktu,Layanan Pelanggan,Pelayanan,"Waktu regular, Senin - Jumat,Kasual (contoh: Kaos),Others Benefits,",12,5000,Komputer/Teknik Informatika (Perangkat Lunak),2850000.0
8176,Jakarta Timur,Manajer/Asisten Manajer,1,1,0,0,0,0,0,0,0,0,0,0,Penuh Waktu,Farmasi,Layanan Kesehatan,",",,,Umum & Grosir,3000000.0
6920,Jakarta Selatan,Pegawai (non-manajemen & non-supervisor),2,0,0,0,0,0,0,1,0,0,0,0,Penuh Waktu,Pemasaran/Pengembangan Bisnis,Penjualan / Pemasaran,"Tunjangan Pendidikan,Tip,Asuransi kesehatan,Parkir,Waktu regular, Senin - Jumat,Bisnis (contoh: Kemeja),",3,200,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",6600000.0
