id,position,experience,e_none,e_sma,e_smu/smk/stm,e_sp,e_d3,e_d4,e_s1,e_dp,e_gp,e_s2,e_s3,gig1,gig2,industry,salary
9634,IDR,Manajer/Asisten,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,1,1,1,1,1,1,0,0,0,Penuh Waktu,"Layanan Kesehatan,Praktisi/Asisten Medis",Makanan & Minuman/Katering/Restoran,14000000.0
24082,IDR,Pegawai,Tidak terspesifikasi,1,0,0,0,0,0,0,0,0,0,Penuh Waktu,"Komputer/Teknologi Informasi,IT-Perangkat Lunak",Pertambangan,5500000.0
30954,IDR,Supervisor/Koordinator,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Penjualan Ritel",Manajemen/Konsulting HR,13225000.0
31329,IDR,Pegawai,Tidak terspesifikasi,1,0,0,0,0,0,0,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Telesales/Telemarketing",Konstruksi/Bangunan/Teknik,4500000.0
1200,IDR,Pegawai,Tidak terspesifikasi,1,0,0,0,0,0,0,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Pemasaran/Pengembangan Bisnis",Asuransi,19000000.0
15156,IDR,Pegawai,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma)",0,1,1,1,1,1,0,0,0,0,Penuh Waktu,"Sumber Daya Manusia/Personalia,Staf / Administrasi umum",Periklanan/Marketing/Promosi/Hubungan Masyarakat,4200000.0
30994,IDR,Supervisor/Koordinator,"Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,0,0,1,1,1,1,0,0,0,Penuh Waktu,"Manufaktur,Penjaminan Kualitas / QA",Manajemen/Konsulting HR,10350000.0
28873,IDR,Manajer/Asisten,"Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)",0,0,0,0,0,0,1,1,1,1,Penuh Waktu,"Akuntansi / Keuangan,Audit & Pajak",,19200000.0
19029,IDR,Pegawai,"SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)",0,1,1,1,1,1,1,0,0,0,Penuh Waktu,"Penjualan / Pemasaran,Telesales/Telemarketing",Manufaktur/Produksi,4600000.0
21398,IDR,Pegawai,Tidak terspesifikasi,1,0,0,0,0,0,0,0,0,0,Penuh Waktu,"Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran",Makanan & Minuman/Katering/Restoran,2400000.0
25821,IDR,Lulusan,"SMA, SMU/SMK/STM",0,1,1,0,0,0,0,0,0,0,Kontrak,"Akuntansi / Keuangan,Perbankan / Jasa Finansial ",Perbankan/Pelayanan Keuangan,3000000.0
30464,IDR,Pegawai,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Akuntansi / Keuangan,Audit & Pajak",Manufaktur/Produksi,3750000.0
17118,IDR,Supervisor/Koordinator,Sarjana (S1),0,0,0,0,0,0,1,0,0,0,Penuh Waktu,"Manufaktur,Penjaminan Kualitas / QA",Komputer/Teknik Informatika (Perangkat Lunak),12000000.0
