id|job_title|location|salary_currency|career_level|experience_level|education_level|employment_type|job_function|job_benefits|company_process_time|company_size|company_industry|job_description
13973|Sales Staff (Japanese Speaker)|Jakarta Raya|IDR|Lulusan baru/Pengalaman kerja kurang dari 1 tahun||SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Penjualan - Korporasi|Tip;Asuransi kesehatan;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)|21 days|1- 50 pekerja|Manajemen/Konsulting HR|Age maximal 23 years oldCandidate must possess at least a SMK, Diploma, Bachelor's Degree, any field.Applicants must be willing to work in Sudirman,Jakarta.No work experience required.Full-Time position(s) available.FRESH GRADUATES from schools and/or universities are applicable for the positionJapanese language (JLPT N3 or above)Job Desc:Starting from the sales support clericals, later on your assignment will get broader to handling customers.- Correspondence with the Japanese headquarters regarding goods delivery>Emails, phone calls, and online meetings with your counterpart in Japanese language>Place purchase orders>Delivery schedule management- Correspondence with local customers and logistics companies>Receive POs from customers>Delivery coordination with logistics companies>Report progress and issues to the customers if anyTeam:The company consists of 4 members (President Director, Admin, Ex-Im, Marketing)You will be closely working with the President director (Japanese) and a Marketing staff(Indonesian) for the sales activities.Allowances below are inclusive to the cited salary range aboveMeal allowance: 700,000IDR per month（fixed）Transportation allowance:1,000,000IDR per month（fixed）Skill allowance for JLPT N2: 500,000IDR per month（fixed）THR availableIncome tax borne by the company
12830|Finance Accounting supervisor|Jakarta Barat|IDR|Manajer/Asisten Manajer|3 tahun|Tidak terspesifikasi|Penuh Waktu|Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan||25 days|1- 50 pekerja|Retail/Merchandise|Persyaratan:•Pendidikan Minimal S1 Jurusan Akuntansi •Pengalaman minimal 3 tahun di posisi yang sama•Pengalaman di bidang Retail•Memiliki skill dalam product costing methods•Berintegritas tinggi dan professional•Berkarakter jujur dan teliti•Mampu bekerja secara mandiriDeskripsi pekerjaan : •Memiliki kemampuan untuk membuat workflow dan sistem kerja akutansi untuk mengembangkan perusahaan menjadi lebih baik dari sisi Akunting.•Memproses data dan informasi keuangan untuk menghasilkan Laporan Keuangan Perusahaan & laporan lainnya sesuai kebutuhan manajemen secara akurat & tepat waktu.•Mampu menggunakan software akuntansi online seperti Acccurate dengan lancar utk pembuatan laporan keuangan•Mampu membuat proyeksi keuangan dan studi kelayakan untuk proyek pengembangan dan usaha baru•Mampu membuat executive summary atas laporan keuangan yang dihasilkan•Memverifikasi semua pemasukan dan pengeluaran harian•Melakukan Stock Opname & Membuat peraturan untuk Menjaga Asset perusahaan
25858|Finance & Accounting Manager - Logistics (A-64661)|Jakarta Pusat|IDR|Manajer/Asisten Manajer|5 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1), Diploma Pascasarjana, Gelar Professional, Magister (S2)|Penuh Waktu|Akuntansi / Keuangan,Akuntansi Umum / Pembiayaan||19 days|1- 50 pekerja|Manajemen/Konsulting HR|About The Company:The working venue is in Jakarta Pusat.Our client is a Japanese logistics company. Currently, they are looking for Finance & Accounting Manager.Job Responsibilities:Create monthly Financial Statement.Manage Tax tasks such as PPH 21, VAT, and other taxes which related to the business.Handle Audit tasks.Manage all accounting transactions.Other tasks assigned by Japanese President Director.Job Requirements:Age around 35 - 43 years old.Have a minimum of Bachelor degree in Accounting from reputable University.Have at least 5 years of working experience as Finance & Accounting Manager in Logistics or Forwarding Company.Hold Brevet A, B, C.Have Business level English for both oral & written.Not a job hopper.Have excellent analytical thinking, negotiation skills and the ability to develop strong working relationships with other divisions.Willing to work in Jakarta.[Only CV in English will be processed]
24089|Sales Executive|Medan|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|SMA, SMU/SMK/STM, Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Penjualan Ritel|Asuransi kesehatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)|16 days|201 - 500 pekerja|Perbankan/Pelayanan Keuangan|Tentang majoomajoo Teknologi Indonesia adalah salah satu perusahaan yang bergerak di bidang aplikasi wirausaha lengkap mulai dari pengelolaan penjualan,pelanggan, pembayaran, inventori, keuangan, karyawan sampai dengan pembiayaan usaha. Saat ini majoo sedang mencari Sales Executive untuk ditempatkan di Medan-Tebing Tinggi dengan kualifikasi dan deskripsi pekerjaan sebagai berikut.Deskripsi PekerjaanMengumpulkan daftar merchant potensialMeningkatkan penjualan secara efektif (direct selling/ meeting)Melakukan demonstrasi produk berdasarkan kebutuhan merchant (edukasi dan instalasi aplikasi Majoo)Berkoordinasi dengan atasan dan divisi terkait (terkait pembayaran)Penempatan Medan-Tebing TinggiKualifikasiPendidikan minimal SMA atau sederajatMemiliki pengalaman kerja di bidang sales minimal 1 tahunUsia maksimal 35 tahunMemiliki kendaraan pribadi dan SIM-C (minimal)Aktif dalam komunitas atau organisasi akan menjadi nilai tambahKomunikatif, bisa bekerjasama dalam tim, dan menyukai bekerja di lapanganMempunyai smartphone android dan aktif dalam bersosial mediaKompensasi dan BenefitBPJS Kesehatan dan KetenagakerjaanInsentifJam kerja yang fleksibelFasilitasTools Kit (Tablet, brosur, bluetooth printer, dan lanyard)
2140|Manager Restoran|Jakarta Utara|IDR|Manajer/Asisten Manajer|5 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma)|Penuh Waktu|Hotel/Restoran,Makanan/Minuman/Pelayanan Restoran|Kasual (contoh: Kaos);Ketenagakerja;Selasa-Minggu|17 days|1- 50 pekerja|Makanan & Minuman/Katering/Restoran|Bisa dan mau bekerja baik di lapangan maupun back office, tidak hanya memantau lapanganMempersiapkan dan melaksanakan prosedur operasi standar untuk operasional restoranMengontrol operasi harian restoran dan mengawasi semua aktifitas terkait restoran (layanan dan dapur)Memberikan laporan lisan dan tertulis kepada perusahaan tentang operasional restoran (mingguan & bulanan)Membuat menu-menu baru dan mempromosikan penjualanBertanggung jawab atas ketersediaan pembelian bahan baku dan semua inventaris restoranMenjaga dan mengatasi keluhan maupun masukan dari customerMemastikan efektifitas dan performa kinerja seluruh karyawanMemahami budget finansial seluruh operasional restoran untuk memaksimalkan profitPersyaratan :Minimal 5 tahun pengalaman sebagai koordinator / supervisor / manager restoran atau menangani tanggung jawab serupa (diutamakan di restoran Seafood)Pendidikan minimal DiplomaDapat mengoperasikan komputer dan menguasai Microsoft Office (excel, Word, Power Point)Jujur, bersih, tegas, cekatan, tanggung jawab, berinisiatif, kreatif dan mau bekerja kerasKepemimpinan yang baik, kerja team, dan terampil berkomunikasi
10256|Personal Assistant|Malang|IDR|Pegawai (non-manajemen & non-supervisor)|1 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Sumber Daya Manusia/Personalia,Sekretaris|Tunjangan Pendidikan;Tip;Asuransi kesehatan;Parkir;Waktu regular, Senin - Jumat;Bisnis (contoh: Kemeja)|14 days|51 - 200 pekerja|Konsultasi (Bisnis & Manajemen)|Tugas dan Tanggung JawabBertindak sebagai kontak pertama: berurusan dengan Korespondensi dan Panggilan telepon.Mengelola buku harian dan Mengontrol Pertemuan dng klien atau orang lainPemesanan dan Mengatur Perjalanan, Transportasi, dan Akomodasi.Menyelenggarakan Acara dan Konferensi.Mengingatkan tentang Tugas dan Hal-hal yang Urgent.Mengetik, Menyusun, dan Menyiapkan laporan, Presentasi, dan Korespondensi.Mengelola Account Medsos Pribadi pimpinan.Menerapkan dan Memelihara prosedur / Sistem administrasi.Berhubungan dengan Staf, Pemasok, dan Klien.Mengumpulkan dan Mengarsipkan dana yang keluar.Tidak menutup kemungkinan mengurus hal-hal untuk keperluan pribadi termasuk rumah tanggaMencatat dikte atau Rangkuman rapat sebagai NotulenKualifikasiKandidat harus memiliki setidaknya Diploma, Gelar Sarjana di bidang apapun.Umur Maksimal 40 tahunSetidaknya memiliki 1 tahun pengalaman dalam bidang yang sesuai untuk posisi ini.Dapat menggunakan teknologi (terutama mengoperasikan media sosial) dengan baik.Bisa atau Mengerti Digital Marketing lebih diutamakanBisa mengunakan komputer microsoft office dan Software min Adobe Photoshop atau Canva aplikasiKemampuan untuk melakukan banyak tugas dan memprioritaskan beban kerja harianKeahlian komunikasi verbal dan tertulis yang sangat baik (Publik Speaking)Bisa menjaga KerahasiaanBisa mengendarai mobil dan memiliki Sim A ada nilai tambah Fleksible bilamana ada acara di luar kotaPenempatan Surabaya dan di kota Batu Malang (disediakan tempat tinggal dan Harus Stay)
20520|Marketing Communication|Jakarta Utara|IDR|Supervisor/Koordinator|2 tahun|Sertifikat Professional, D3 (Diploma), D4 (Diploma), Sarjana (S1)|Penuh Waktu|Penjualan / Pemasaran,Digital Marketing|Tip;Kasual (contoh: Kaos);Training;Regular Hours & Shift Operation|21 days|51 - 200 pekerja|Manufaktur/Produksi|Membuat strategi pemasaran penjualan produk secara offline dan online jangka pendek dan panjangMenciptakan brand awareness perusahaanMengelola social media dan market place seperti Instagram, Facebook, Tokopedia, Shopee, Blibli dllMeningkatkan penjualan offline dan onlineMembuat promo untuk penjualan offline dan onlineKualifikasi :Pendidikan Minimal D3 pemasaranBerpengalaman dalam mengelola social mediaBerpengalaman dalam penjualan produk secara online seperti market place, sales page dan media socialTerbiasa membuat strategi dan promo untuk penjualanPaham akan snack atau camilanMempunyai wawasan luas dalam digital marketingUsia 25 - 30 tahunLokasi kerja kelapa gading, jakarta utara
14557|Senior Marketing Planner|Jakarta Selatan|IDR|Pegawai (non-manajemen & non-supervisor)|6 tahun|Tidak terspesifikasi|Penuh Waktu|Penjualan / Pemasaran,Digital Marketing||||Produk Konsumen/Barang konsumen yang bergerak cepat|JOB MISSIONThe Senior Marketing Planner will develop multi-channel marketing campaigns/ initiatives to increase brand love of Garmin. The ideal candidate should have extensive knowledge and practical experience on the marketing tactics in consumer electronic industry.JOB DESCRIPTIONResponsibilityDevelop 360° Go-To-Market strategy for new products and craft local marketing communication plan in line with global team to support the local business objectives.Own end-to-end campaign execution, including the development of marketing briefs that define objective, success metrics, target audience, communication strategy and amplification tactics.Collaborate with internal stakeholders across design, social, PR, sales teams and external stakeholders to ensure alignment and campaign execution.Support sales teams and distributors to manage consumer promotional programs to drive business results.Manage marketing budget for a good mixed for campaigns across multiple channels.QUALIFICATION Required QualificationsFluent in English and Indonesia speaking. (Chinese is a plus)6-9 years of hands-on experience in marketing.Strong communication and presentation skills.Preferred QualificationsPassionate in running or other outdoor activities.Good knowledge on smart wearables.
13354|Quantity Surveying (Contract Management and Administration)|Jakarta Selatan|IDR|Pegawai (non-manajemen & non-supervisor)|8 tahun|Sarjana (S1)|Penuh Waktu|Bangunan/Konstruksi,Teknik Sipil/Konstruksi Bangunan|Asuransi Gigi;Tip;Asuransi kesehatan;Pinjaman;Olahraga (contoh: pusat kebugaran);Parkir;Penglihatan;Waktu regular, Senin - Jumat;Kasual (contoh: Kaos)|28 days|51 - 200 pekerja|Konstruksi/Bangunan/Teknik|Administration for Documents/Letters/DrawingsArrange schedule for PQ and tender processPrepare PQ and tender documentOrganize the tender process and control tender scheduleAttend and contribute to tender interviews, clarification meetings, and collate records of all relevant matters arisingChecking Bidders document submission. Review and evaluate Tender Submission and Tender Report; Coordinate with QS,Engineering and Client for issuing the commercial recommendations in Tender Evaluation ReportPrepare comprehensive tender analysis and report which include identifying any arithmetic errors and price inconsistency aswell including commercials conclusionsCompile and prepare LOA and ContractAdvise Client and Project Manager regarding contractual issues during constructionRequirements :Diploma 3 or Bachelor degree from any major, Civil Engineering is preferablyHave experiences in Procurement, Tender and Contractual ManagementGood knowledge of Contractual (FIDIC) Good knowledge of MS Office   Proficiency in English (speaking and writing)        Persistent with high determination         Willing to learn
4278|Creative Leader|Bandung|IDR|Supervisor/Koordinator|2 tahun|Sarjana (S1)|Penuh Waktu|Seni/Media/Komunikasi,Seni / Desain Kreatif|Asuransi kesehatan;Other Benefits;Casual namun rapih, tidak memakai t-shirt.;Senin - Sabtu|1 day|201 - 500 pekerja|Retail/Merchandise|CREATIVE LEADERPosition Job Scope including, but not limited to:● Conceptualise and create digital content, including (but not limited to) product photography and videography, poster design, writing blog posts, and other copywriting.● Create a systematic report about pre-production and post production. ● Collaborate with other teams to actively manage social media and e-commerce activity.● Generate regular reporting and insights on platform and content performance.Qualification Requirements:● Bachelor’s degree in, graphic design, social media marketing, or related field.● 2 year of related work experience● An outstanding photography portfolio and/or video showreels.● Having an advanced understanding of using a camera, lighting, and other photographic equipment and ensuring careful usage to maintain the function and quality of all office equipment.● Having an advanced understanding of using editing software such as Adobe Photoshop, Adobe Lightroom, Adobe Premiere, and Adobe After Effects.● Being a cooperative team player to make sure all projects are completed to high standards, according to brief, and respecting Service Level Agreement.● Send us your work portfolio. Portfolio containing product such as footwear or any other fashion product will have an advantage to our screening.● Age: Max 25
