id,salary
13973,1732468
12830,12298254
25858,18230468
24089,4563407
2140,11985404
10256,5624781
20520,7914082
14557,4749460
13354,9625604
4278,5160569
23671,7602865
16008,5065792
22802,3985909
12843,8200395
1318,5990046
5342,4719896
19589,10659175
20217,2785367
26301,6566705
19678,6254425
16803,5613114
20376,4869716
16598,5637308
19921,6578187
15871,4902642
8347,5207797
12109,5145311
19523,18278000
29164,6663177
28996,4795998
11340,6485749
6,8549175
10649,5450683
14762,6989547
21406,3955582
17631,14742501
12040,8766849
25922,6088696
14127,6081857
2007,6372071
5793,13983438
23418,5411289
7230,8057095
2532,4499990
29158,5708885
10608,6983764
6007,17756236
20533,6742302
3529,6606565
25324,6326811
21021,5623116
10909,16785644
19501,7314563
1111,5751551
25046,8770340
12445,7730370
19024,4568847
19426,5135393
7225,6756553
18541,8487464
27684,5826661
26213,6533327
29519,8493278
16622,21830154
27136,7773510
25426,5452641
1114,14982116
5684,6873176
27622,13224233
20355,7096574
6060,4876792
11869,6224951
24113,10999148
4796,4603881
26253,8951642
27828,5847526
4901,6870585
30678,5684192
4756,6268709
19290,6013870
6956,3418153
3045,6569070
31105,8091748
29897,6453116
5464,10956136
26464,6481190
6084,5398251
9383,6155332
22960,2384714
17107,4170962
23969,8053970
5805,6971706
18893,4108439
26066,5778787
12909,2867553
13636,6296063
5338,5368181
27932,5640456
9961,5551100
8233,7003124
8297,4534996
5851,7389121
13685,7122571
29844,7669205
15021,7391434
30074,5710866
11661,2887637
16015,5779794
17777,6542250
10046,8456970
20444,4391417
21617,5231537
17603,5886589
15477,3197024
26192,6742407
12163,3962460
6874,4612555
26874,14117404
30436,7957234
2910,3047686
9370,5942486
4282,6239017
19665,7017596
18152,5392900
19994,6738710
27871,6212502
8346,1383529
16811,11300081
3415,5716430
14944,5188325
22610,4637774
22191,11577848
21040,5532106
244,4476560
23743,8932084
1332,2887637
16024,4946447
31671,12179990
5178,3720004
11695,4219769
31375,2304524
29,4456308
7416,5403632
27331,7998598
14271,2887637
13359,7063435
28918,5306057
29510,8622898
6774,25824386
28684,2874814
11617,8932084
17875,4869597
30277,6510627
13913,16048408
28102,6143025
22615,5967488
24816,7703194
26942,4825948
417,6228202
4345,6418139
1019,19980856
11509,5111066
12458,6197382
23475,5715144
2834,5161018
25327,4804604
5924,11548109
11919,5007986
3587,6040651
6072,3248549
7816,6886645
27266,7827716
30794,6434459
