id,salary
13973,7415559
12830,9341950
25858,14672888
24089,3828023
2140,6453198
10256,4242854
20520,6871175
14557,6988674
13354,11439926
4278,4991060
23671,8883104
16008,3770645
22802,4195412
12843,11051816
1318,21788654
5342,9661763
19589,9222824
20217,4363059
26301,6822056
19678,5772875
16803,5009088
20376,3920603
16598,4730724
19921,6412081
15871,10922137
8347,4872723
12109,4312077
19523,17267138
29164,7344631
28996,7495963
11340,7712655
6,5526551
10649,4110951
14762,6944825
21406,4220910
17631,16045316
12040,6979484
25922,4793380
14127,6647278
2007,4311215
5793,20235878
23418,5590420
7230,5909569
2532,3376730
29158,7261070
10608,8658430
6007,14583014
20533,5346571
3529,8361569
25324,2716720
21021,4566787
10909,5632281
19501,4776390
1111,20853346
25046,7457591
12445,8256261
19024,2915760
19426,7014190
7225,5782251
18541,9794378
27684,6782763
26213,13196868
29519,7311782
16622,22047122
27136,12693856
25426,6376170
1114,14584546
5684,5415549
27622,13356478
20355,9316478
6060,5060778
11869,4842705
24113,8335638
4796,3915701
26253,12000428
27828,4640487
4901,7554137
30678,4162012
4756,6717363
19290,5347695
6956,3014026
3045,6143952
31105,12331394
29897,6237157
5464,8842476
26464,5799862
6084,9911406
9383,3704824
22960,4176849
17107,4662491
23969,6844671
5805,11121848
18893,2309713
26066,4052693
12909,3454989
13636,5135122
5338,4017292
27932,4998843
9961,13452264
8233,10230628
8297,2658339
5851,9877074
13685,8828281
29844,6632610
15021,6379280
30074,6035897
11661,3002669
16015,6856633
17777,4000354
10046,14811416
20444,4725025
21617,4360163
17603,8356049
15477,3694806
26192,5459911
12163,1850426
6874,4175449
26874,16185160
30436,7362630
2910,6662081
9370,3850154
4282,4930084
19665,4012524
18152,4080564
19994,3119189
27871,7890796
8346,6421148
16811,11910439
3415,7270865
14944,7796113
22610,3969002
22191,9862926
21040,7681051
244,3771299
23743,4926822
1332,3002669
16024,4097540
31671,18057066
5178,5003682
11695,3098031
31375,5149101
29,5090513
7416,5286441
27331,4749648
14271,3002669
13359,5509992
28918,7039353
29510,11479320
6774,28504260
28684,2577200
11617,4926822
17875,4003307
30277,4985791
13913,12224355
28102,6370465
22615,4838031
24816,6137653
26942,3852305
417,5644439
4345,5897370
1019,15685532
11509,15415098
12458,8543170
23475,22139214
2834,3761210
25327,7030141
5924,18081406
11919,8403325
3587,6261484
6072,2648292
7816,6194509
27266,12543242
30794,5038678
19303,3255105
22074,5375834
17451,5217090
4731,5072242
20778,4919619
19292,5111735
30360,6253763
4842,2722792
28392,2611403
