id,salary
13973,4308777
12830,9964404
25858,12752916
24089,4104077
2140,6630416
10256,7335379
20520,6503746
14557,8515118
13354,7959778
4278,5446049
23671,7500332
16008,4622254
22802,4822973
12843,11727448
1318,18184966
5342,10537098
19589,10577776
20217,3111139
26301,4493928
19678,6131371
16803,5079274
20376,4696632
16598,5297592
19921,5241351
15871,12577928
8347,5600078
12109,5383367
19523,13685500
29164,8149614
28996,6770491
11340,8222044
6,5253915
10649,4578485
14762,6707834
21406,3894982
17631,17619832
12040,6013472
25922,6585806
14127,4935241
2007,4710239
5793,13936455
23418,4306498
7230,5935721
2532,4497304
29158,8586710
10608,8476877
6007,15085308
20533,5329786
3529,13652144
25324,5875415
21021,4524546
10909,5734891
19501,6220283
1111,14243570
25046,7578272
12445,8409204
19024,4633860
19426,6379202
7225,5603034
18541,9425058
27684,6203532
26213,9781998
29519,6372591
16622,15216785
27136,9203368
25426,4869385
1114,11262200
5684,5123856
27622,14235611
20355,8378169
6060,3871868
11869,5119103
24113,11956738
4796,4157062
26253,14682230
27828,4606436
4901,7483225
30678,4427409
4756,6154026
19290,4455356
6956,3257668
3045,5648839
31105,12715762
29897,5833637
5464,6289694
26464,4434167
6084,8586710
9383,4094917
22960,5450870
17107,5358840
23969,11401924
5805,10829798
18893,3063188
26066,5006150
12909,4949202
13636,6992533
5338,4100315
27932,6463353
9961,8394503
8233,10963034
8297,4918931
5851,10074758
13685,10663501
29844,5582919
15021,7296631
30074,4391483
11661,3194411
16015,6681824
17777,5001144
10046,12851153
20444,5058810
21617,4498994
17603,6876976
15477,3516650
26192,6446803
12163,3132053
6874,4764062
26874,16126822
30436,7064244
2910,6724470
9370,3997216
4282,4577159
19665,4311215
18152,3694903
19994,4549516
27871,6033348
8346,6197657
16811,16133467
3415,5012766
14944,6496975
22610,5574484
22191,11436832
21040,7314100
244,3853209
23743,5243927
1332,3194411
16024,4822973
31671,15092392
5178,5250999
11695,3178722
31375,4439423
29,4332325
7416,4513636
27331,5923417
14271,3194411
13359,5294231
28918,5496641
29510,11104662
6774,14512168
28684,3269610
11617,5243927
17875,5906370
30277,4512467
13913,9390804
28102,6757533
22615,5591999
24816,6577151
26942,4493928
417,6581733
4345,4952230
1019,12806220
11509,14283943
12458,10843504
23475,15336758
2834,2662056
25327,5987027
5924,14956043
11919,7087195
3587,6117216
6072,4054793
7816,5977061
27266,12859289
30794,5899435
19303,3969969
22074,5792372
17451,4307480
4731,5300426
20778,3623921
19292,5549513
30360,8090388
4842,3527425
28392,4785669
7653,5639137
30986,6883085
28822,4028006
9644,7516632
4547,12966646
5902,5234362
20663,6109231
1667,9463208
21903,5315321
1727,14370004
12234,13413994
10991,10806797
29472,4080162
9126,12660651
28256,19214916
21337,5333465
18139,17619832
5021,4804478
1020,6220283
9082,4960531
30123,3259077
17005,4938990
18075,11610176
12640,11940110
20784,9953056
30534,7672871
3584,5058810
15275,4694622
4396,5264972
8816,5443888
9005,4553195
25835,3128841
24179,9103541
26046,3849820
