id,salary
13973,4521141
12830,11095717
25858,10569123
24089,4478528
2140,5833772
10256,7882636
20520,6730696
14557,6385788
13354,8909784
4278,6779698
23671,8706289
16008,4359643
22802,5547066
12843,11819204
1318,26209920
5342,6620390
19589,9511250
20217,3850893
26301,5238979
19678,6452156
16803,4795363
20376,3756091
16598,4486911
19921,6336121
15871,13358655
8347,5128107
12109,4521093
19523,14095715
29164,7265152
28996,6681429
11340,8698712
6,5113276
10649,3999181
14762,7458942
21406,4376136
17631,14048575
12040,7538489
25922,6616025
14127,6072756
2007,5809287
5793,19241066
23418,4303691
7230,4660076
2532,4267292
29158,9982401
10608,9447575
6007,15641246
20533,5410114
3529,15349863
25324,5655788
21021,4882391
10909,9767068
19501,6076233
1111,23489021
25046,7380350
12445,7570557
19024,4065977
19426,8779581
7225,5019905
18541,7431497
27684,5518998
26213,7318425
29519,5605237
16622,17449417
27136,7407056
25426,4747532
1114,12155500
5684,5055053
27622,14778809
20355,8343184
6060,5173777
11869,5666385
24113,10379567
4796,4519629
26253,14506898
27828,4525487
4901,9680177
30678,4885677
4756,7042345
19290,3978308
6956,3867317
3045,5021451
31105,13425263
29897,5057801
5464,6502047
26464,4725199
6084,9982401
9383,4775596
22960,4225685
17107,5481642
23969,7946185
5805,10415916
18893,3633922
26066,5665517
12909,4264265
13636,6091751
5338,4507691
27932,7590076
9961,13178308
8233,8679207
8297,4143057
5851,11469198
13685,10667044
29844,5390276
15021,7984027
30074,5893629
11661,3596953
16015,7055214
17777,5292940
10046,13183060
20444,4834933
21617,3986452
17603,7490783
15477,4069656
26192,6114770
12163,3867574
6874,4328503
26874,17970271
30436,8664473
2910,7613457
9370,4187190
4282,4599507
19665,3917506
18152,4577644
19994,4053208
27871,7317688
8346,5604229
16811,14704031
3415,5701460
14944,7029514
22610,4696479
22191,10425234
21040,6111348
244,4316865
23743,4753677
1332,3596953
16024,5547066
31671,16624687
5178,5728945
11695,3702798
31375,4448120
29,3814928
7416,4512916
27331,6970321
14271,3596953
13359,5524225
28918,7178189
29510,10704544
6774,29592819
28684,3595234
11617,4753677
17875,6250442
30277,4906678
13913,8696857
28102,6413544
22615,5387933
24816,7008988
26942,5238979
417,6709451
4345,5397271
1019,19065585
11509,16414633
12458,8936367
23475,32272264
2834,3465876
25327,7892883
5924,14431705
11919,7596287
3587,8300450
6072,4252295
7816,4711520
27266,13588008
30794,6408504
19303,3941333
22074,5466836
17451,5275310
4731,5994943
20778,4493415
19292,5340851
30360,7126313
4842,4076400
28392,4216378
7653,7729826
30986,6384445
28822,4402837
9644,8062813
4547,8031545
5902,5082431
20663,5741129
1667,11293141
21903,5853041
1727,21629533
12234,21379327
10991,13960137
29472,4700426
9126,16350259
28256,65612999
21337,4899815
18139,14048575
5021,5200447
1020,6076233
9082,4672962
30123,3632404
17005,4262681
18075,10354944
12640,13554188
20784,9208008
30534,8124199
3584,4834933
15275,5994350
4396,5095563
8816,4295723
9005,4076489
25835,3769912
24179,8611692
26046,4633390
29245,4490593
11408,7560476
28609,3842850
16264,4752347
22949,4629860
8294,6009438
8805,61082686
28981,4466402
25111,7583178
27300,6865287
708,12442255
15876,5459444
30524,6800665
9510,4130873
3611,5185063
22315,4941244
16128,10293022
15024,11994104
11387,17353423
4011,4466117
1367,5199339
12114,4993638
7481,4531946
9019,5861551
8020,4452212
2241,4813762
13370,10513959
12845,5009817
27066,4466273
19918,6158403
18481,3781016
26080,4633402
1807,4478528
12810,8059578
18900,4018131
25892,5854124
21787,18045416
8861,6265631
4470,8294167
14140,5390985
16520,8627387
3784,5088249
24522,4905367
31155,7490783
21393,4162503
30817,5688582
24553,4644678
13737,4267529
4629,18164236
29260,7490783
19821,8124199
373,5789336
2787,3941333
318,8450644
2077,4512916
6336,5356231
12380,4932636
31355,3935101
6843,5568971
12578,8534830
2341,6994637
15567,4202048
28523,5007452
31597,6800665
27130,4761344
27970,7351060
12321,4208905
1515,5340368
6881,8787368
2955,6452230
18321,5712546
11989,6125535
22017,4512399
31109,5096915
14069,4217223
15555,7099243
582,11132591
4799,10608065
29240,3814928
29212,5523788
24596,27358551
4535,19471918
18294,32054169
14784,5283731
2984,5209126
4932,12186615
5284,3917146
643,4177704
3063,4012278
23983,4148421
4582,7245772
159,3878582
18391,5531617
29342,5620346
2014,4758359
1416,14462076
1967,7658781
19862,5759379
13742,4842278
1772,3547170
1634,4078385
16119,4992721
2064,5595142
12701,7189302
7061,20510179
12862,5238053
14218,4627819
30138,5050046
3446,4144841
7649,5767994
1102,10667044
17170,4139265
12292,5096985
8982,4834933
11736,5390276
27896,15070056
31531,7165807
5524,4220514
23254,4512399
23351,7181364
12324,3914930
14366,6928599
25932,118368167
29216,11914371
24261,5425518
24564,4100103
7100,11123068
21647,6486610
18243,8172852
5781,4939061
15540,9063812
27950,4397104
13641,4478528
12582,4855881
14265,5519211
16478,3916561
8140,4840322
3809,8197503
5391,12546252
6279,5348050
5906,5754549
12527,5705710
4216,4299074
17345,4846828
7520,7596287
28825,7431497
27008,6128581
14280,5053420
8662,4070475
5135,4252295
13414,3489733
25378,5693811
15045,6327225
11009,4835139
4279,6564470
26453,4567677
20948,7703483
10361,9982401
15267,4227181
25220,5974381
29321,5718775
18621,5818238
18489,3462376
10282,6946295
25082,3702941
10653,3860260
12093,5611701
10350,11130639
21075,8720226
22726,4478528
17317,14958514
20288,7191276
8226,4843616
23650,5213906
16940,5615092
22557,5396573
17374,4480151
22448,4912588
10013,4546962
18961,5547066
15420,6242239
20406,4374893
20337,3941333
16979,6144708
1339,5343565
25600,5423145
17214,3555882
22834,4791583
1135,10641451
4957,6423241
31092,10400286
3624,4035348
28655,6288161
3365,4465777
31745,7560476
30719,4361590
31089,4479378
12877,8000339
13881,5994736
2074,5336518
27023,5197803
31476,5854124
20347,8888781
26359,5627269
