id,salary
13973,5541394
12830,9232355
25858,10029998
24089,4024369
2140,8977182
10256,4476344
20520,8297741
14557,7878090
13354,13948626
4278,5098164
23671,7859723
16008,4707102
22802,3761446
12843,11999657
1318,22940668
5342,8824337
19589,8999604
20217,4070651
26301,7894127
19678,7653112
16803,4777900
20376,3025332
16598,4392121
19921,5973304
15871,12833616
8347,5837253
12109,3292940
19523,17125016
29164,6280402
28996,6480905
11340,7800771
6,10399610
10649,5276090
14762,6020455
21406,3910107
17631,12120939
12040,6040814
25922,6247907
14127,7021883
2007,5390622
5793,17513140
23418,4292859
7230,7104210
2532,2132021
29158,5235235
10608,9085263
6007,14999988
20533,5098359
3529,14798066
25324,4266187
21021,6127840
10909,5997443
19501,5643281
1111,17513632
25046,6007351
12445,7543250
19024,2909988
19426,5142449
7225,5896977
18541,10835300
27684,5754871
26213,10953585
29519,7697574
16622,20177838
27136,11285551
25426,4561283
1114,13068539
5684,5459989
27622,13972069
20355,8423234
6060,4887996
11869,5411188
24113,6889399
4796,4202755
26253,13410389
27828,2945441
4901,6872532
30678,4400565
4756,5807548
19290,4980453
6956,3346721
3045,7933287
31105,22306566
29897,5505384
5464,7269782
26464,4943274
6084,10547231
9383,4564646
22960,3500134
17107,3985100
23969,11271657
5805,8956587
18893,2027697
26066,5632600
12909,4009373
13636,5499768
5338,4277205
27932,8772772
9961,7640625
8233,8463013
8297,3719144
5851,11600870
13685,10771000
29844,5897672
15021,7839310
30074,5668997
11661,3003136
16015,5083141
17777,4501207
10046,12639911
20444,4767490
21617,4274381
17603,7206973
15477,3737514
26192,5552118
12163,1258196
6874,4017811
26874,17941986
30436,7828499
2910,6483457
9370,5015381
4282,5831811
19665,4005604
18152,3723743
19994,4660549
27871,7074641
8346,8363992
16811,15785238
3415,7615047
14944,7820428
22610,3093314
22191,10286100
21040,7959332
244,3946746
23743,4655683
1332,3003136
16024,3964345
31671,13953481
5178,3684369
11695,3354078
31375,4738518
29,4993012
7416,3658196
27331,6445362
14271,3003136
13359,6254053
28918,7182393
29510,8377888
6774,29989268
28684,2986723
11617,4655683
17875,4333325
30277,5972641
13913,12194011
28102,6525784
22615,4329631
24816,8548382
26942,3095471
417,5968157
4345,4874585
1019,14842292
11509,11088639
12458,9038273
23475,23591006
2834,4254691
25327,4997334
5924,15967989
11919,9977398
3587,5249248
6072,2917531
7816,5568913
27266,12494474
30794,5297345
19303,3120855
22074,5711263
17451,5380039
4731,4006806
20778,3547145
19292,4316307
30360,8203056
4842,2553399
28392,2442051
7653,5500137
30986,6554462
28822,3400991
9644,6840707
4547,10973178
5902,4503027
20663,4976386
1667,12749708
21903,4808046
1727,11613191
12234,22290496
10991,14302833
29472,5452669
9126,12879882
28256,81509384
21337,4324406
18139,12120939
5021,5623297
1020,7218027
9082,4295421
30123,4580485
17005,4356425
18075,11951317
12640,11906755
20784,11948084
30534,5722051
3584,4235622
15275,4373963
